Applicant_ID,Identity_Card,Name,Age,Gender,Education_Level,Field_of_Study,Education_Background,Skills,Graduation_Year,Experience_Years,Certifications,Job_Applied,Required_Education_Levels,Required_Fields,Required_Min_Experience,Required_Max_Experience,Required_Skills,Required_Certifications,Shortlisted
1,1198780003218196,HABIMANA Alice,38,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"SQL, Java, Data Structures",2009,16,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
2,2199080009402654,NDAYISENGA Eric,35,Male,Master's,Information Technology,Master's in Information Technology,"Networking, Database Administration, Cybersecurity, ITIL, Linux",2015,10,"CEH, ITIL Foundation",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
3,2199780001849593,MUTABAZI Emmanuel,28,Male,Diploma,Education,Diploma in Education,"Classroom Management, Curriculum Development, Lesson Planning",2017,8,Teaching License,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
4,1198170005534192,MUKAGASANA Diane,44,Female,Diploma,Engineering,Diploma in Engineering,"Project Management, Quality Control, SolidWorks, Technical Drawing",2002,23,PMI-PMP,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5,1200280006413953,TWAGIRAYEZU Grace,23,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Healthcare Ethics, CPR, Emergency Response, Clinical Skills, Patient Care, Medical Records",2025,0,"CCRN, NCLEX-RN",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
6,2199670001012269,MUKAMURENZI Paul,29,Female,Diploma,Computer Science,Diploma in Computer Science,"Web Development, Data Structures, C++, Machine Learning, Python, Algorithms",2019,6,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7,2198670002704828,MUKAMURENZI Jean,39,Female,PhD,Economics,PhD in Economics,"Forecasting, Data Visualization, Econometrics, Statistical Analysis, R",2014,11,Certified Business Economist,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
8,1197380001543039,RUKUNDO Claudine,52,Male,Bachelor's,Economics,Bachelor's in Economics,"Forecasting, R, Statistical Analysis",1995,30,CFA,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
9,2198870003834657,MUKAYIRANGA Marie,37,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, Forecasting, Statistical Analysis",2013,12,"CFA, Certified Business Economist",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
10,1200180001051834,HABIMANA Jean,24,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Clinical Skills, Emergency Response, CPR, Patient Care",2024,1,"NCLEX-RN, ACLS, BLS",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
11,2197780007010651,KALISA Claudine,48,Male,Master's,Business Administration,Master's in Business Administration,"Negotiation, Communication, Strategic Planning, Business Analysis",2002,23,Six Sigma,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
12,2200070008108013,MUKASHYAKA Grace,25,Female,Bachelor's,Information Technology,Bachelor's in Information Technology,"Cybersecurity, Linux, Database Administration, Networking, Cloud Computing, ITIL",2025,0,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
13,1197570006872343,MUKAGASANA Theogene,50,Female,Master's,Economics,Master's in Economics,"Forecasting, Python, Statistical Analysis",1999,26,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
14,1197170000812191,MUKAYIRANGA Theogene,54,Female,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Clinical Skills, Emergency Response, Medical Records, Healthcare Ethics, CPR",1994,31,"CCRN, PALS, ACLS",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
15,2198880002475107,HABIYAREMYE Paul,37,Male,Master's,Nursing,Master's in Nursing,"Patient Care, Clinical Skills, Emergency Response",2016,9,"ACLS, PALS",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
16,1198680007849808,TWAGIRAYEZU Claudine,39,Male,Master's,Accounting,Master's in Accounting,"Taxation, Auditing, Financial Reporting",2015,10,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
17,1196680005348740,RUTAYISIRE Peter,59,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"Python, Web Development, C++, Java, Algorithms",1991,34,CISSP,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
18,1199770002805982,MUKAYIRANGA Florence,28,Female,PhD,Marketing,PhD in Marketing,"Social Media, Market Research, SEO",2024,1,"HubSpot Certification, Facebook Blueprint",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
19,2196980009232260,KAMALI Claudine,56,Male,Master's,Information Technology,Master's in Information Technology,"Database Administration, Cybersecurity, Linux, Windows Server, Networking",1998,27,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
20,1197470003754330,MUKAMUSONERA Grace,51,Female,Master's,Nursing,Master's in Nursing,"Medical Records, Healthcare Ethics, Patient Care, Emergency Response, Clinical Skills, CPR",1999,26,"BLS, CCRN",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
21,1198870001965569,MUKANDORI Chantal,37,Female,Bachelor's,Engineering,Bachelor's in Engineering,"Technical Drawing, MATLAB, SolidWorks, AutoCAD, Quality Control, Project Management",2010,15,PMI-PMP,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
22,1198370001484656,MUKAMANA Patrick,42,Female,Diploma,Education,Diploma in Education,"Classroom Management, Assessment, Curriculum Development, Educational Technology",2005,20,CPCE,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
23,1200470004369957,MUKAYIRANGA Grace,21,Female,Diploma,Marketing,Diploma in Marketing,"Email Marketing, Google Analytics, Content Marketing, Social Media",2025,0,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
24,1196570001343320,MUKAYIRANGA Patrick,60,Female,Master's,Computer Science,Master's in Computer Science,"Java, SQL, Machine Learning, Data Structures, Web Development, C++",1990,35,"CISSP, Oracle Java, AWS Certified",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
25,2199880003287083,HABIMANA Theogene,27,Male,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, R, Python, Forecasting, Data Visualization, Statistical Analysis",2020,5,Certified Business Economist,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
26,1198970008734714,MUKARUHOGO Peter,36,Female,PhD,Business Administration,PhD in Business Administration,"Project Management, Negotiation, Leadership, Communication, Business Analysis",2020,5,CFA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
27,2197880005876036,TWAGIRAYEZU Jean,47,Male,PhD,Marketing,PhD in Marketing,"Google Analytics, SEO, Social Media, Content Marketing, Market Research, Email Marketing",2005,20,PCM,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
28,1197380006562729,RUTAYISIRE Eric,52,Male,Master's,Engineering,Master's in Engineering,"Technical Drawing, Quality Control, AutoCAD, Project Management, MATLAB, SolidWorks",1997,28,"LEED, PE License, Six Sigma Green Belt",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
